county,district,area
新北市,板橋區,23.1373
新北市,三重區,16.317
新北市,中和區,20.144
新北市,永和區,5.7138
新北市,新莊區,19.7383
新北市,新店區,120.2255
新北市,樹林區,33.1288
新北市,鶯歌區,21.1248
新北市,三峽區,191.4508
新北市,淡水區,70.6565
新北市,汐止區,71.2354
新北市,瑞芳區,70.7336
新北市,土城區,29.5578
新北市,蘆洲區,7.4351
新北市,五股區,34.8632
新北市,泰山區,19.1603
新北市,林口區,54.1519
新北市,深坑區,20.5787
新北市,石碇區,144.3498
新北市,坪林區,170.835
新北市,三芝區,65.9909
新北市,石門區,51.2645
新北市,八里區,39.4933
新北市,平溪區,71.3382
新北市,雙溪區,146.2484
新北市,貢寮區,99.9734
新北市,金山區,49.2132
新北市,萬里區,63.3766
新北市,烏來區,321.1306
臺北市,松山區,9.2878
臺北市,信義區,11.2077
臺北市,大安區,11.3614
臺北市,中山區,13.6821
臺北市,中正區,7.6071
臺北市,大同區,5.6815
臺北市,萬華區,8.8522
臺北市,文山區,31.509
臺北市,南港區,21.8424
臺北市,內湖區,31.5787
臺北市,士林區,62.3682
臺北市,北投區,56.8216
桃園市,桃園區,34.8046
桃園市,中壢區,76.52
桃園市,大溪區,105.1206
桃園市,楊梅區,89.1229
桃園市,蘆竹區,75.5025
桃園市,大園區,87.3925
桃園市,龜山區,72.0177
桃園市,八德區,33.7111
桃園市,龍潭區,75.2341
桃園市,平鎮區,47.7532
桃園市,新屋區,85.0166
桃園市,觀音區,87.9807
桃園市,復興區,350.7775
臺中市,中區,0.8803
臺中市,東區,9.2855
臺中市,南區,6.8101
臺中市,西區,5.7042
臺中市,北區,6.9376
臺中市,西屯區,39.8467
臺中市,南屯區,31.2578
臺中市,北屯區,62.7034
臺中市,豐原區,41.1845
臺中市,東勢區,117.4065
臺中市,大甲區,58.5192
臺中市,清水區,64.1709
臺中市,沙鹿區,40.4604
臺中市,梧棲區,16.6049
臺中市,后里區,58.9439
臺中市,神岡區,35.0445
臺中市,潭子區,25.8497
臺中市,大雅區,32.4109
臺中市,新社區,68.8874
臺中市,石岡區,18.2105
臺中市,外埔區,42.4099
臺中市,大安區,27.4045
臺中市,烏日區,43.4032
臺中市,大肚區,37.0024
臺中市,龍井區,38.0377
臺中市,霧峰區,98.0779
臺中市,太平區,120.7473
臺中市,大里區,28.8758
臺中市,和平區,1037.8192
臺南市,新營區,38.5386
臺南市,鹽水區,52.2455
臺南市,白河區,126.4046
臺南市,柳營區,61.2929
臺南市,後壁區,72.2189
臺南市,東山區,124.9178
臺南市,麻豆區,53.9744
臺南市,下營區,33.5291
臺南市,六甲區,67.5471
臺南市,官田區,70.7953
臺南市,大內區,70.3125
臺南市,佳里區,38.9422
臺南市,學甲區,53.9919
臺南市,西港區,33.7666
臺南市,七股區,110.1492
臺南市,將軍區,41.9796
臺南市,北門區,44.1003
臺南市,新化區,62.0579
臺南市,善化區,55.3097
臺南市,新市區,47.8096
臺南市,安定區,31.27
臺南市,山上區,27.878
臺南市,玉井區,76.3662
臺南市,楠西區,109.6316
臺南市,南化區,171.5198
臺南市,左鎮區,74.9025
臺南市,仁德區,50.7664
臺南市,歸仁區,55.7913
臺南市,關廟區,53.6413
臺南市,龍崎區,64.0814
臺南市,永康區,40.2753
臺南市,東區,13.4156
臺南市,南區,27.2681
臺南市,北區,10.434
臺南市,安南區,107.2016
臺南市,安平區,11.0663
臺南市,中西區,6.26
高雄市,鹽埕區,1.4161
高雄市,鼓山區,14.7523
高雄市,左營區,19.3823
高雄市,楠梓區,25.8276
高雄市,三民區,19.7866
高雄市,新興區,1.9764
高雄市,前金區,1.8573
高雄市,苓雅區,8.1522
高雄市,前鎮區,19.1207
高雄市,旗津區,1.4639
高雄市,小港區,45.4426
高雄市,鳳山區,26.759
高雄市,林園區,32.286
高雄市,大寮區,71.04
高雄市,大樹區,66.9811
高雄市,大社區,26.5848
高雄市,仁武區,36.0808
高雄市,鳥松區,24.5927
高雄市,岡山區,47.9421
高雄市,橋頭區,25.9379
高雄市,燕巢區,65.395
高雄市,田寮區,92.6802
高雄市,阿蓮區,34.6164
高雄市,路竹區,48.4348
高雄市,湖內區,20.1615
高雄市,茄萣區,15.7624
高雄市,永安區,22.6141
高雄市,彌陀區,14.7772
高雄市,梓官區,11.5967
高雄市,旗山區,94.6122
高雄市,美濃區,120.0316
高雄市,六龜區,194.1584
高雄市,甲仙區,124.034
高雄市,杉林區,104.0036
高雄市,內門區,95.6224
高雄市,茂林區,194.0
高雄市,桃源區,928.98
高雄市,那瑪夏區,252.9895
宜蘭縣,宜蘭市,29.408
宜蘭縣,羅東鎮,11.3448
宜蘭縣,蘇澳鎮,89.0196
宜蘭縣,頭城鎮,100.893
宜蘭縣,礁溪鄉,101.4278
宜蘭縣,壯圍鄉,38.4769
宜蘭縣,員山鄉,111.9106
宜蘭縣,冬山鄉,79.8573
宜蘭縣,五結鄉,38.8671
宜蘭縣,三星鄉,144.2238
宜蘭縣,大同鄉,657.5442
宜蘭縣,南澳鄉,740.652
新竹縣,竹北市,46.8341
新竹縣,關西鎮,125.5193
新竹縣,新埔鎮,72.1911
新竹縣,竹東鎮,53.5133
新竹縣,湖口鄉,58.4303
新竹縣,橫山鄉,66.3502
新竹縣,新豐鄉,46.3496
新竹縣,芎林鄉,40.7858
新竹縣,寶山鄉,64.7871
新竹縣,北埔鄉,50.6676
新竹縣,峨眉鄉,46.801
新竹縣,尖石鄉,527.5795
新竹縣,五峰鄉,227.728
苗栗縣,苗栗市,37.8878
苗栗縣,頭份市,53.3205
苗栗縣,苑裡鎮,68.2473
苗栗縣,通霄鎮,107.8486
苗栗縣,竹南鎮,37.5592
苗栗縣,後龍鎮,75.8079
苗栗縣,卓蘭鎮,76.3153
苗栗縣,大湖鄉,90.8396
苗栗縣,公館鄉,71.4523
苗栗縣,銅鑼鄉,78.3805
苗栗縣,南庄鄉,165.4938
苗栗縣,頭屋鄉,52.5046
苗栗縣,三義鄉,69.3424
苗栗縣,西湖鄉,41.0758
苗栗縣,造橋鄉,47.9978
苗栗縣,三灣鄉,52.2964
苗栗縣,獅潭鄉,79.4324
苗栗縣,泰安鄉,614.5127
彰化縣,彰化市,65.6947
彰化縣,員林市,40.038
彰化縣,鹿港鎮,39.4625
彰化縣,和美鎮,39.9345
彰化縣,北斗鎮,19.2547
彰化縣,溪湖鎮,32.0592
彰化縣,田中鎮,34.6056
彰化縣,二林鎮,92.8478
彰化縣,線西鄉,18.0856
彰化縣,伸港鄉,22.3268
彰化縣,福興鄉,49.8934
彰化縣,秀水鄉,29.3447
彰化縣,花壇鄉,36.3469
彰化縣,芬園鄉,38.0204
彰化縣,大村鄉,30.7837
彰化縣,埔鹽鄉,38.6081
彰化縣,埔心鄉,20.9526
彰化縣,永靖鄉,20.6382
彰化縣,社頭鄉,36.1449
彰化縣,二水鄉,29.4449
彰化縣,田尾鄉,24.0375
彰化縣,埤頭鄉,42.7508
彰化縣,芳苑鄉,91.3827
彰化縣,大城鄉,63.7406
彰化縣,竹塘鄉,42.1662
彰化縣,溪州鄉,75.831
南投縣,南投市,71.6021
南投縣,埔里鎮,162.2227
南投縣,草屯鎮,104.0327
南投縣,竹山鎮,247.3339
南投縣,集集鎮,49.7268
南投縣,名間鄉,83.0955
南投縣,鹿谷鄉,141.8981
南投縣,中寮鄉,146.6541
南投縣,魚池鄉,121.3735
南投縣,國姓鄉,175.7042
南投縣,水里鄉,106.8424
南投縣,信義鄉,1422.4188
南投縣,仁愛鄉,1273.5312
雲林縣,斗六市,93.7151
雲林縣,斗南鎮,48.1505
雲林縣,虎尾鎮,68.742
雲林縣,西螺鎮,49.7985
雲林縣,土庫鎮,49.0212
雲林縣,北港鎮,41.4999
雲林縣,古坑鄉,166.6059
雲林縣,大埤鄉,44.9973
雲林縣,莿桐鄉,50.8502
雲林縣,林內鄉,37.6035
雲林縣,二崙鄉,59.5625
雲林縣,崙背鄉,58.484
雲林縣,麥寮鄉,80.1668
雲林縣,東勢鄉,48.3562
雲林縣,褒忠鄉,37.0552
雲林縣,臺西鄉,54.0983
雲林縣,元長鄉,71.5872
雲林縣,四湖鄉,77.1189
雲林縣,口湖鄉,80.4612
雲林縣,水林鄉,72.9582
嘉義縣,太保市,66.8964
嘉義縣,朴子市,49.5737
嘉義縣,布袋鎮,61.7307
嘉義縣,大林鎮,64.1663
嘉義縣,民雄鄉,85.4969
嘉義縣,溪口鄉,33.0463
嘉義縣,新港鄉,66.0495
嘉義縣,六腳鄉,62.2619
嘉義縣,東石鄉,81.5821
嘉義縣,義竹鄉,79.2925
嘉義縣,鹿草鄉,54.3151
嘉義縣,水上鄉,69.1198
嘉義縣,中埔鄉,129.5016
嘉義縣,竹崎鄉,162.2256
嘉義縣,梅山鄉,119.7571
嘉義縣,番路鄉,117.5269
嘉義縣,大埔鄉,173.2472
嘉義縣,阿里山鄉,427.8471
屏東縣,屏東市,65.067
屏東縣,潮州鎮,42.4331
屏東縣,東港鎮,29.4635
屏東縣,恆春鎮,136.763
屏東縣,萬丹鄉,57.4679
屏東縣,長治鄉,39.8861
屏東縣,麟洛鄉,16.26
屏東縣,九如鄉,42.0187
屏東縣,里港鄉,68.9208
屏東縣,鹽埔鄉,64.3493
屏東縣,高樹鄉,90.1522
屏東縣,萬巒鄉,60.7315
屏東縣,內埔鄉,81.8554
屏東縣,竹田鄉,29.0732
屏東縣,新埤鄉,59.0102
屏東縣,枋寮鄉,57.7347
屏東縣,新園鄉,38.3109
屏東縣,崁頂鄉,31.2659
屏東縣,林邊鄉,15.6233
屏東縣,南州鄉,18.97
屏東縣,佳冬鄉,30.9842
屏東縣,琉球鄉,6.8018
屏東縣,車城鄉,49.8517
屏東縣,滿州鄉,142.2013
屏東縣,枋山鄉,17.2697
屏東縣,三地門鄉,196.3965
屏東縣,霧臺鄉,278.796
屏東縣,瑪家鄉,78.7008
屏東縣,泰武鄉,118.6266
屏東縣,來義鄉,167.7756
屏東縣,春日鄉,160.001
屏東縣,獅子鄉,301.0018
屏東縣,牡丹鄉,181.8366
臺東縣,臺東市,109.7691
臺東縣,成功鎮,143.9939
臺東縣,關山鎮,58.7351
臺東縣,卑南鄉,412.6871
臺東縣,大武鄉,69.1454
臺東縣,太麻里鄉,96.6523
臺東縣,東河鄉,210.1908
臺東縣,長濱鄉,155.1868
臺東縣,鹿野鄉,89.698
臺東縣,池上鄉,82.6854
臺東縣,綠島鄉,15.0919
臺東縣,延平鄉,455.8805
臺東縣,海端鄉,880.0382
臺東縣,達仁鄉,306.4454
臺東縣,金峰鄉,380.6635
臺東縣,蘭嶼鄉,48.3892
花蓮縣,花蓮市,29.4095
花蓮縣,鳳林鎮,120.5181
花蓮縣,玉里鎮,252.3719
花蓮縣,新城鄉,29.4095
花蓮縣,吉安鄉,65.2582
花蓮縣,壽豐鄉,218.4448
花蓮縣,光復鄉,157.11
花蓮縣,豐濱鄉,162.4332
花蓮縣,瑞穗鄉,135.5862
花蓮縣,富里鄉,176.3705
花蓮縣,秀林鄉,1641.8555
花蓮縣,萬榮鄉,618.491
花蓮縣,卓溪鄉,1021.313
澎湖縣,馬公市,33.9918
澎湖縣,湖西鄉,33.3008
澎湖縣,白沙鄉,20.0875
澎湖縣,西嶼鄉,18.7148
澎湖縣,望安鄉,13.7824
澎湖縣,七美鄉,6.9868
基隆市,中正區,10.2118
基隆市,七堵區,56.2659
基隆市,暖暖區,22.8283
基隆市,仁愛區,4.2335
基隆市,中山區,10.5238
基隆市,安樂區,18.025
基隆市,信義區,10.6706
新竹市,東區,33.5768
新竹市,北區,15.7267
新竹市,香山區,54.8491
嘉義市,東區,30.1556
嘉義市,西區,29.87
金門縣,金城鎮,21.713
金門縣,金湖鎮,41.696
金門縣,金沙鎮,41.19
金門縣,金寧鄉,29.854
金門縣,烈嶼鄉,16.003
金門縣,烏坵鄉,1.2
連江縣,南竿鄉,10.4
連江縣,北竿鄉,9.9
連江縣,莒光鄉,4.7
連江縣,東引鄉,3.8
